original_sentence,processed_tokens
"Django, Flutter, Docker",django flutter docker
"Flutter, MongoDB, ASP.NET",flutter mongodp aspnet
"MongoDB, Flutter, JavaScript, Git, CSS, Linux",mongodp flutter javascript git css linux
"Git, Linux, Flask, React, Git, Docker",git linux flask react git docker
"C#, JavaScript, Flutter",javascript flutter
"Node.js, Kubernetes, Kubernetes, SQL",nodejs kubernetes kubernetes sql
"MongoDB, CSS, CSS, ASP.NET, C#",mongodp css css aspnet
"React, CSS, C#, Linux, Java",react css linux jav
"Java, MongoDB, Node.js",jav mongodp nodejs
"Python, HTML, Kubernetes",python html kubernetes
"HTML, Docker, Node.js",html docker nodejs
"Docker, Node.js, Next.js, Docker, CSS",docker nodejs nextjs docker css
"Azure, MongoDB, Next.js, MongoDB, Flutter",azure mongodp nextjs mongodp flutter
"Git, React, SQL, React, Kubernetes",git react sql react kubernetes
"ASP.NET, Flask, Git, Flutter",aspnet flask git flutter
"Azure, Flutter, Azure, Next.js",azure flutter azure nextjs
"Next.js, CSS, ASP.NET, HTML, SQL",nextjs css aspnet html sql
"ASP.NET, Linux, Azure",aspnet linux azure
"Java, C#, CSS",jav css
"ASP.NET, Django, React, C#",aspnet django react
"Java, Node.js, CSS, Docker",jav nodejs css docker
"React, ASP.NET, C#, Django, Kubernetes",react aspnet django kubernetes
"Docker, Azure, Docker, Flask, Git, Django",docker azure docker flask git django
"Kubernetes, Git, HTML, Kubernetes",kubernetes git html kubernetes
"C#, Git, Node.js",git nodejs
"Node.js, Azure, MongoDB, JavaScript",nodejs azure mongodp javascript
"Azure, C#, Kubernetes, CSS, React",azure kubernetes css react
"Next.js, Flask, Kubernetes, Python, Flask, ASP.NET",nextjs flask kubernetes python flask aspnet
"Flutter, Azure, Docker, Azure",flutter azure docker azure
"C#, Next.js, Flutter, Git, C#, Flask",nextjs flutter git flask
"React, Azure, JavaScript",react azure javascript
"JavaScript, Python, C#, Java, HTML",javascript python jav html
"Django, Docker, Node.js, C#",django docker nodejs
"ASP.NET, Node.js, Next.js, Django",aspnet nodejs nextjs django
"MongoDB, JavaScript, HTML, Kubernetes",mongodp javascript html kubernetes
"React, C#, CSS, Linux, SQL",react css linux sql
"MongoDB, ASP.NET, CSS, Flutter, Java, JavaScript",mongodp aspnet css flutter jav javascript
"Java, JavaScript, React, Flutter, Python",jav javascript react flutter python
"C#, Kubernetes, Next.js, Java, Flutter",kubernetes nextjs jav flutter
"Kubernetes, CSS, Java, CSS, Azure, Linux",kubernetes css jav css azure linux
"MongoDB, Azure, Node.js",mongodp azure nodejs
"React, Kubernetes, JavaScript, MongoDB, JavaScript",react kubernetes javascript mongodp javascript
"Docker, Flutter, Git",docker flutter git
"Docker, Flask, Azure, Node.js, Django",docker flask azure nodejs django
"C#, Git, Flask",git flask
"React, Python, Azure, Flutter, Docker",react python azure flutter docker
"Node.js, Linux, ASP.NET, Node.js, JavaScript, Django",nodejs linux aspnet nodejs javascript django
"SQL, HTML, CSS",sql html css
"Django, Linux, MongoDB, C#, CSS, Flutter",django linux mongodp css flutter
"JavaScript, ASP.NET, Git, Python",javascript aspnet git python
"Docker, Azure, React, Java, Node.js, CSS",docker azure react jav nodejs css
"Node.js, React, Linux, SQL",nodejs react linux sql
ŞOK Marketler - Elektronik ve Haberleşme mühendisi (2021-2025),şok market elektronik haberleşme mühendis
Şişecam - Sanayici (2022-2023),şişeca sanayiç
Aslan Fırat Şti.,asla fırat şti
- Teşrifatçı (2023-2025),teşrifatçı
Peak Games - Mali hizmetler uzmanı (2020-2024),peak games mali hizmet uzma
Sakarya Tarhan Şti.,sakarya tarha şti
- Makinist (2023-2024),makinist
Çetin Manço Ltd. - Benzinci (2021-2025),çet manço ltd benzinci
Demirel Şti.,demirel şti
- Çitçi (2018-2024),çitçi
Akgündüz Ltd. - Manifaturacı (2023-2024),akgündüz ltd manifaturaç
Türk Telekom - İcra memuru (2022-2023),türk teleko icra memur
Yılmaz Karadeniz Şti.,yılmaz karade şti
- Profesör (2019-2023),profesör
Gül Yüksel Ltd. - Tellal (2019-2024),gül yüksel ltd tellal
Bilgin Şti.,bilgi şti
- Hattat (2020-2023),hattat
Yıldırım Ltd. - Yazar (2018-2023),yıldır ltd yazar
İnönü Ltd. - Kuyumcu (2022-2025),inö ltd kuyumcu
Turkcell - Başbakan (2021-2025),turkcell başbaka
Öcalan A.Ş.,öcala
- Şekerci (2022-2023),şekerci
Aselsan - Gelir uzmanı (2021-2025),asel gelir uzma
Mansız Akçay Şti.,mansız akçay şti
- Danışman (2023-2025),danışma
Yüksel Şti.,yüksel şti
- Sicil memuru (2022-2024),sicil memur
Mansız A.Ş.,mansız
- Ambalajcı (2020-2025),ambalajcı
Durmuş Zorlu A.Ş.,dur zorlu
- Kamyoncu (2018-2024),kamyoncu
Petrol Ofisi - Opera sanatçısı (2021-2024),petrol ofis oper sanatçıs
Çamurcuoğlu Türk A.Ş.,çamurcuoğlu türk
- Dadı (2020-2025),dadı
Akça Şama A.Ş.,akça şa
- Matkapçı (2022-2023),matkapçı
ŞOK Marketler - Müsteşar (2020-2023),şok market müsteşar
Gül Ltd. - Jokey (2023-2023),gül ltd jokey
Seven Yıldırım Ltd. - Biyomedikal Mühendisi (2023-2025),seve yıldır ltd biyomedikal mühendis
Fırat Ltd. - Palyaço (2023-2023),fırat ltd palyaço
Petrol Ofisi - Desinatör (2022-2024),petrol ofis desinatör
Çetin Arslan A.Ş.,çet arsla
- Temsilci (2019-2024),temsilci
Türk A.Ş.,türk
- Fermantasyon işçisi (2020-2024),fermantasyo işçis
Dumanlı Yılmaz Ltd. - Oduncu (2020-2025),dumanlı yılmaz ltd oduncu
Sakarya Durmuş Şti.,sakarya dur şti
- Genetik mühendisi (2018-2023),genetik mühendis
Bilgin A.Ş.,bilgi
- Kuşbilimci (2020-2023),kuşbilimci
Karadeniz A.Ş.,karade
- Mürebbiye (2018-2025),mürebbi
Arslan Yılmaz Şti.,arsla yılmaz şti
- Vali (2018-2023),vali
Akça A.Ş.,akça
- Tarım işçisi (2020-2023),tar işçis
Yaman A.Ş.,yama
- Çevre mühendisi (2022-2023),çevre mühendis
Yılmaz Ltd. - Sigortacı (2021-2023),yılmaz ltd sigortaç
Sezgin Yıldırım A.Ş.,sezgi yıldır
- Orgeneral (2018-2023),orgeneral
Sezgin Yıldırım A.Ş.,sezgi yıldır
- Celep (2020-2024),celep
Türk Telekom - Madenci (2019-2025),türk teleko madenci
Fırat Şti.,fırat şti
- İnşaatçı (2023-2023),inşaatçı
Selçuk Ecza - Camcı (2019-2025),selçuk ecza camcı
Bilir Akgündüz A.Ş.,bilir akgündüz
- Laborant (2023-2025),laborant
ŞOK Marketler - Sosyal hizmet uzmanı (2020-2024),şok market sosyal hizmet uzma
Akdeniz Akgündüz A.Ş.,akde akgündüz
- Çevik Kuvvet (2019-2025),çevik kuvvet
Sezgin Zengin Şti.,sezgi zengi şti
- Astsubay (2019-2023),astsubay
Roketsan - Karpuzcu (2020-2023),roket karpuzcu
Eraslan Gül Şti.,erasla gül şti
- Yorumcu (2021-2023),yorumcu
Güçlü Şti.,güçlü şti
- Kasiyer (2022-2025),kasiyer
ŞOK Marketler - Modelist (2020-2025),şok market modelist
Türk A.Ş.,türk
- Kadın berberi (2019-2025),kadı berber
Türk Hava Yolları - Piyango satıcısı (2018-2025),türk hav yol piyango satıcıs
Bilir Sezgin Ltd. - Uydu antenci (2022-2024),bilir sezgi ltd u antenci
Toyota Otomotiv - Rehber (2020-2023),toyo otomotiv rehber
Anadolu Efes - Göz doktoru (2020-2024),anadol efes göz doktor
Çamurcuoğlu Şensoy A.Ş.,çamurcuoğlu şensoy
- Asker (2023-2025),asker
Hayrioğlu Dumanlı A.Ş.,hayrioğlu dumanlı
- Oymacı (2023-2025),oymaç
Bilir Şener A.Ş.,bilir şener
- Aktris (2021-2024),aktris
Arslan Akçay Şti.,arsla akçay şti
- Diş hekimi (2019-2024),diş hek
Akgündüz Ltd. - Yeminli mali müşavir (2019-2024),akgündüz ltd yeminli mali müşavir
ŞOK Marketler - Dilenci (2021-2024),şok market dilenci
Şama Çetin Şti.,şa çet şti
- Başkomiser (2019-2025),başkomiser
Durmuş Akçay Şti.,dur akçay şti
- Dalgıç (2018-2024),dalgıç
Demir Şener Ltd. - Aşçı (2020-2024),demir şener ltd aşçı
Tevetoğlu Eraslan Şti.,tevetoğlu erasla şti
- Armatör (2023-2025),armatör
Yorulmaz A.Ş.,yorulmaz
- Öğretim elemanı (2021-2025),öğret elema
Türk Hançer Ltd. - Subay (2020-2023),türk hançer ltd subay
İnönü Ergül Şti.,inö ergül şti
- İllüzyonist (2019-2023),illüzyonist
ŞOK Marketler - Hostes (2019-2023),şok market hostes
Akgündüz Yorulmaz A.Ş.,akgündüz yorulmaz
- Pansumancı (2018-2024),pansumancı
Akgündüz Korutürk Ltd. - Radyolog (2021-2025),akgündüz korutürk ltd radyologu
Seven Zengin Şti.,seve zengi şti
- Embriyolog (2023-2023),embriyologu
Ford Otosan - İcra memuru (2019-2024),ford otosa icra memur
Sezgin Şti.,sezgi şti
- Buldozer operatörü (2019-2025),buldozer operatör
Tüpraş - Pilavcı (2018-2024),tüpraş pilavcı
Sezer Arslan A.Ş.,sezer arsla
- Aşçıbaşı (2019-2025),aşçıbaş
Gül A.Ş.,gül
- Stenograf (2021-2024),stenograf
Yıldırım Ltd. - Müneccim (2020-2023),yıldır ltd münecç
Limak İnşaat - Tümamiral (2021-2024),limak inşaat tümamiral
İhsanoğlu Durdu Ltd. - Yayıncı (2020-2023),ihsanoğlu dur ltd yayıncı
Bilgin A.Ş.,bilgi
- Kaportacı (2021-2023),kaportaç
Vestel - Camcı (2020-2023),vestel camcı
Oyak Renault - Koruma görevlisi (2022-2024),oyak renault kor görevlis
Öcalan Gül A.Ş.,öcala gül
- Çikolatacı (2022-2023),çikolataç
Oyak Renault - Meteoroloji uzmanı (2018-2024),oyak renault meteoroloj uzma
Petkim - Cost Control (2023-2023),petk cost control
Karadeniz Şama Şti.,karade şa şti
- Tasarımcı (2018-2024),tasarımcı
Demir Çetin Ltd. - Saat tamircisi (2022-2025),demir çet ltd saat tamircis
Aslan Şti.,asla şti
- Gitarist (2018-2023),gitarist
Toyota Otomotiv - Proktolog (2018-2025),toyo otomotiv proktologu
Yıldırım Fırat Ltd. - Test mühendisi (2022-2025),yıldır fırat ltd test mühendis
Limak İnşaat - Papaz (2018-2025),limak inşaat papaz
Zorlu Ltd. - Redaktör (2018-2025),zorlu ltd redaktör
Limak İnşaat - Tarım işçisi (2023-2024),limak inşaat tar işçis
Mansız Bilgin Şti.,mansız bilgi şti
- Astronot (2019-2023),astronot
Yaman Şensoy Ltd. - Piyango satıcısı (2023-2023),yama şensoy ltd piyango satıcıs
BİM - Radyoloji teknisyeni/teknikeri (2018-2024),bim radyoloji teknisyenitekniker
Dumanlı Tarhan A.Ş.,dumanlı tarha
- Dokumacı (2020-2023),dokumaç
Demirel A.Ş.,demirel
- İpçi (2022-2025),ipçi
Yüksel Şti.,yüksel şti
- Cerrah (2020-2025),cerrah
Demir A.Ş.,demir
- Manastır baş rahibesi (2021-2024),manas baş rahibes
Şafak Seven Ltd. - Tesisatçı (2019-2023),şafak seve ltd tesisatçı
Akdeniz Soylu A.Ş.,akde soylu
- Hemşire (2019-2025),hemşir
Çorlu Ltd. - Sosyolog (2022-2025),çorlu ltd sosyologu
Akar A.Ş.,akar
- Ayakkabı tamircisi (2020-2025),ayakkap tamircis
Şişecam - Seyis (2019-2025),şişeca seyis
Şafak Ltd. - Sürveyan (2019-2025),şafak ltd sürveya
Durdu Hançer A.Ş.,dur hançer
- Host (2023-2024),host
Arçelik - Oyun hostesi (2018-2023),arçelik oy hostes
Türk Hançer Ltd. - Forklift operatörü (2019-2024),türk hançer ltd forklift operatör
Akçay Şti.,akçay şti
- İnşaat mühendisi (2019-2025),inşaat mühendis
Ford Otosan - Yargıç (2023-2023),ford otosa yargıç
Gül Sezgin Ltd. - İllüzyonist (2019-2023),gül sezgi ltd illüzyonist
Güçlü Aslan Şti.,güçlü asla şti
- Subay (2023-2025),subay
Zorlu Şti.,zorlu şti
- Jokey (2019-2023),jokey
Petkim - Genetik mühendisi (2019-2023),petk genetik mühendis
Durdu Seven Şti.,dur seve şti
- Kahveci (2018-2023),kahveç
Yıldırım Durdu Şti.,yıldır dur şti
- Kumaşçı (2020-2024),kumaşçı
Sezgin Yorulmaz Şti.,sezgi yorulmaz şti
- Veznedar (2022-2024),veznedar
Vestel - Haham (2021-2025),vestel haha
Akar Şti.,akar şti
- Piskopos (2022-2025),piskopos
Akçay Mansız A.Ş.,akçay mansız
- Astronot (2023-2023),astronot
Opet - Köşe yazarı (2018-2023),opet köş yazar
Eraslan Şti.,erasla şti
- Jeomorfolog (2023-2025),jeomorfologu
Aselsan - Üretici (2018-2023),asel üretiç
Yılmaz Aksu Şti.,yılmaz aksu şti
- Koleksiyoncu (2018-2024),koleksiyoncu
LC Waikiki - Hastabakıcı (2021-2025),waikik hastabakıç
Roketsan - Sahil koruma (2019-2025),roket sahil kor
Tüpraş - Veteriner sağlık teknisyeni (2022-2023),tüpraş veteriner sağlık teknisye
Roketsan - Manifaturacı (2022-2023),roket manifaturaç
A101 Yeni Mağzacılık - Şarküter (2021-2024),ye mağzacılık şarküter
Alemdar Çorlu Ltd. - Sansürcü (2018-2025),alemdar çorlu ltd sansürcü
Çamurcuoğlu Yılmaz Ltd. - Kahveci (2021-2025),çamurcuoğlu yılmaz ltd kahveç
Petkim - Çiftlik işletici (2021-2024),petk çiftlik işletiç
Çamurcuoğlu A.Ş.,çamurcuoğlu
- Geyşa (2023-2023),geyşa
Çetin Şti.,çet şti
- Tatlıcı (2020-2025),tatlıç
Akçay Ltd. - Hastabakıcı (2018-2023),akçay ltd hastabakıç
Bilge Ltd. - İktisatçı (2020-2023),bilge ltd iktisatçı
Bilir Sezgin A.Ş.,bilir sezgi
- Jeolog (2018-2025),jeologu
Arçelik - Guru (2021-2023),arçelik gur
Duran Manço Ltd. - Müşavir (2023-2024),dura manço ltd müşavir
Çamurcuoğlu Arslan A.Ş.,çamurcuoğlu arsla
- Sigortacı (2020-2025),sigortaç
Demirel Eraslan Şti.,demirel erasla şti
- Piyango satıcısı (2020-2023),piyango satıcıs
Petkim - Borucu (2021-2025),petk boruç
Bilge İhsanoğlu A.Ş.,bilge ihsanoğlu
- Araba satıcısı (2020-2024),arap satıcıs
Türk Hava Yolları - Eğitimci (2023-2025),türk hav yol eğitimci
Duran Şti.,dura şti
- Şapel papazı (2023-2023),şapel papaz
A101 Yeni Mağzacılık - Müzisyen (2021-2025),ye mağzacılık müzisye
Yıldırım Şti.,yıldır şti
- Sekreter (2019-2023),sekreter
Gül Şama Şti.,gül şa şti
- Teğmen (2018-2023),teğme
Tevetoğlu Arsoy Ltd. - Karpuzcu (2023-2024),tevetoğlu arsoy ltd karpuzcu
Anadolu Efes - Kaplamacı (2020-2025),anadol efes kaplamaç
Anadolu Efes - Sosyal hizmet uzmanı (2023-2024),anadol efes sosyal hizmet uzma
Zorlu Şti.,zorlu şti
- Kemancı (2018-2024),kemancı
Türk Hava Yolları - Aktar (2019-2024),türk hav yol aktar
Opet - Korsan (2023-2025),opet kor
Çetin Şti.,çet şti
- Komiser (2023-2024),komiser
Ülker Alemdar Şti.,ülker alemdar şti
- Proktolog (2019-2024),proktologu
Korutürk Ltd. - Ambalajcı (2020-2023),korutürk ltd ambalajcı
Çetin Karadeniz Ltd. - Lokomotifçi (2018-2024),çet karade ltd lokomotifçi
Şener Seven A.Ş.,şener seve
- Teknisyen (2019-2024),teknisye
Aslan Ertaş Ltd. - Araba yıkayıcısı (2021-2024),asla ertaş ltd arap yıkayıcıs
Akdeniz Çetin Ltd. - Armatör (2018-2023),akde çet ltd armatör
Şama Gül Ltd. - Kaloriferci (2023-2023),şa gül ltd kaloriferci
Türk Arsoy A.Ş.,türk arsoy
- Proktolog (2022-2023),proktologu
Manço Dumanlı Ltd. - Kahveci (2021-2024),manço dumanlı ltd kahveç
Şişecam - Pandomimci (2020-2024),şişeca pandomimci
Ertaş Sezgin Ltd. - Tekniker (2018-2024),ertaş sezgi ltd tekniker
Kısakürek Şama A.Ş.,kısakürek şa
- Eleştirmen (2022-2025),eleştirme
Çorlu Ltd. - Karoserci (2022-2025),çorlu ltd karoserci
Ford Otosan - Motor tamircisi (2023-2024),ford otosa motor tamircis
İhsanoğlu Şti.,ihsanoğlu şti
- Uçuş teknisyeni (2020-2023),uçuş teknisye
Aselsan - Muhtar (2023-2024),asel muhtar
Aselsan - Teşrifatçı (2022-2024),asel teşrifatçı
Hançer Ergül A.Ş.,hançer ergül
- Astrofizikçi (2018-2025),astrofizikçi
Arçelik - Veteriner sağlık teknisyeni (2020-2023),arçelik veteriner sağlık teknisye
Manço İnönü Ltd. - Maketçi (2021-2024),manço inö ltd maketçi
Öcalan Fırat Ltd. - Montajcı (2023-2025),öcala fırat ltd montajcı
Manço A.Ş.,manço
- Peyzaj mimarı (2018-2023),peyzaj mimar
Sezer Akdeniz Ltd. - Ağ yöneticisi (2023-2024),sezer akde ltd yöneticis
Öcalan Eraslan A.Ş.,öcala erasla
- Koruma görevlisi (2023-2024),kor görevlis
Durdu Ltd. - Sunucu (2021-2024),dur ltd sunuç
Sezer A.Ş.,sezer
- Adli tabip (2019-2023),adli tabip
Akdeniz Şti.,akde şti
- Laborant (2020-2024),laborant
A101 Yeni Mağzacılık - Antropolog (2023-2024),ye mağzacılık antropologu
LC Waikiki - Kamyoncu (2021-2025),waikik kamyoncu
Yaman Erdoğan A.Ş.,yama erdoğa
- Jimnastikçi (2022-2024),jimnastikçi
Öcalan A.Ş.,öcala
- Göz doktoru (2018-2024),göz doktor
BİM - Lokomotifçi (2021-2023),bim lokomotifçi
Tevetoğlu Manço A.Ş.,tevetoğlu manço
- Fermantasyon işçisi (2022-2023),fermantasyo işçis
Seven Mansız A.Ş.,seve mansız
- Silahçı (2020-2024),silahçı
Tevetoğlu Aslan A.Ş.,tevetoğlu asla
- Stenograf (2021-2025),stenograf
Manço Sezer A.Ş.,manço sezer
- Kaynakçı (2019-2024),kaynakçı
Erdoğan A.Ş.,erdoğa
- Eczacı (2023-2023),eczaç
Petkim - Psikolojik danışmanlık ve rehberlik (2019-2025),petk psikolojik danışmanlık rehberlik
Ertaş Arslan Şti.,ertaş arsla şti
- Bakırcı (2019-2025),bakırcı
Sezer Ltd. - Sicil memuru (2022-2024),sezer ltd sicil memur
Anadolu Efes - Jeomorfolog (2018-2024),anadol efes jeomorfologu
Tofaş - Mübaşir (2019-2024),tofaş mübaşir
Roketsan - Masör (2023-2025),roket masör
İhsanoğlu Bilge Şti.,ihsanoğlu bilge şti
- Çikolatacı (2018-2023),çikolataç
Güçlü Şti.,güçlü şti
- Tellal (2020-2024),tellal
Durmuş Akar Şti.,dur akar şti
- Matematikçi (2019-2023),matematikçi
Vestel - Sistem yöneticisi (2021-2024),vestel siste yöneticis
Akçay Aslan A.Ş.,akçay asla
- Duvarcı (2023-2023),duvarcı
Kısakürek Ltd. - Çantacı (2019-2025),kısakürek ltd çantaç
Akçay Akgündüz Şti.,akçay akgündüz şti
- Pideci (2022-2024),pideç
Havelsan - Şemsiyeci (2023-2025),havel şemsiyeç
Sakarya Sezgin Ltd. - Fizyoterapist (2021-2025),sakarya sezgi ltd fizyoterapist
Arçelik - Cerrah (2023-2025),arçelik cerrah
Turkcell - Mumyalayıcı (2022-2024),turkcell mumyalayıç
Şişecam - Pencereci (2019-2024),şişeca pencereç
Eraslan Sezgin A.Ş.,erasla sezgi
- Depocu (2019-2023),depoç
Gülen A.Ş.,güle
- Piskopos (2023-2023),piskopos
Aselsan - Tavukçu (2018-2025),asel tavukçu
İhsanoğlu Akdeniz Şti.,ihsanoğlu akde şti
- Çevre mühendisi (2021-2024),çevre mühendis
EnerjiSA - Değirmenci (2021-2024),enerjisa değirmenci
Petrol Ofisi - Simyacı (2023-2024),petrol ofis simyaç
ŞOK Marketler - İç mimar (2020-2025),şok market mimar
Duran Çamurcuoğlu A.Ş.,dura çamurcuoğlu
- Paketleyici (2020-2024),paketleyiç
Korutürk Şti.,korutürk şti
- Çocuk doktoru (2020-2025),çocuk doktor
Migros - Rektör yardımcısı (2021-2025),migros rektör yardımcıs
EnerjiSA - Teknoloji uzmani (2018-2024),enerjisa teknoloj uzmani
EnerjiSA - Laboratuvar işçisi (2019-2025),enerjisa laboratuvar işçis
Peak Games - Lostracı (2021-2024),peak games lostraç
Gül Ltd. - Matbaacı (2020-2023),gül ltd matbaaç
Öcalan Demir Şti.,öcala demir şti
- Arpist (2020-2024),arpist
Kısakürek Şti.,kısakürek şti
- Laborant (2020-2024),laborant
EnerjiSA - Meydancı (2020-2024),enerjisa meydancı
Aksu Akçay Ltd. - Özel şoför (2022-2023),aksu akçay ltd özel şoför
Çorlu Mansız A.Ş.,çorlu mansız
- Başhemşire (2023-2025),başhemşir
Akgündüz Arslan Şti.,akgündüz arsla şti
- Test pilotu (2021-2024),test pilot
Petkim - Sigortacı (2018-2024),petk sigortaç
Akgündüz Akdeniz A.Ş.,akgündüz akde
- Kayıkçı (2020-2024),kayıkçı
Masomo - Dondurmacı (2022-2025),masomo dondurmaç
Şafak Şama A.Ş.,şafak şa
- Gıda mühendisi (2018-2023),gı mühendis
Mansız Mansız Ltd. - Sulh hâkimi (2022-2023),mansız mansız ltd sulh hk
Mansız Bilge A.Ş.,mansız bilge
- Vitrinci (2020-2024),vitrinci
A101 Yeni Mağzacılık - Kapıcı (2022-2024),ye mağzacılık kapıç
Kısakürek Ergül Ltd. - Sistem mühendisi (2018-2023),kısakürek ergül ltd siste mühendis
Migros - Su tesisatçısı (2023-2024),migros tesisatçıs
Demir Karadeniz Ltd. - Tornacı (2019-2023),demir karade ltd tornaç
Ertaş Sakarya Ltd. - Peçeteci (2019-2025),ertaş sakarya ltd peçeteç
Limak İnşaat - Barmen (2020-2025),limak inşaat barme
Gülen A.Ş.,güle
- Modelist (2020-2024),modelist
Şener Arsoy Ltd. - Rot balansçı (2023-2023),şener arsoy ltd rot balansçı
Karadeniz İhsanoğlu Ltd. - Saatçi (2022-2023),karade ihsanoğlu ltd saatçi
Petkim - Desinatör (2023-2023),petk desinatör
Arsoy Ltd. - Çikolatacı (2022-2023),arsoy ltd çikolataç
Durdu Yaman Ltd. - Sütanne (2018-2025),dur yama ltd sütanne
Roketsan - Ocakçı (2020-2025),roket ocakçı
Gülen Şti.,güle şti
- Adli tabip (2022-2025),adli tabip
Zorlu Kısakürek A.Ş.,zorlu kısakürek
- Başrahip (2023-2024),başrahip
Vestel - Psikolojik danışmanlık ve rehberlik (2023-2024),vestel psikolojik danışmanlık rehberlik
BİM - Elektrikçi (2020-2023),bim elektrikçi
ŞOK Marketler - Metin yazarı (2020-2023),şok market met yazar
Peak Games - Profesör (2020-2025),peak games profesör
BİM - Gümrük müşavir yardımcısı (2019-2025),bim gümrük müşavir yardımcıs
Hançer Ltd. - Modacı (2018-2025),hançer ltd modaç
Akça Ülker A.Ş.,akça ülker
- Şarap üreticisi (2020-2023),şarap üreticis
Peak Games - Makastar (2022-2025),peak games makastar
Hayrioğlu Ltd. - Korgeneral (2021-2023),hayrioğlu ltd korgeneral
Kısakürek A.Ş.,kısakürek
- Tekniker (2020-2023),tekniker
Hayrioğlu Türk Ltd. - Su tesisatçısı (2019-2024),hayrioğlu türk ltd tesisatçıs
Turkcell - Okutman (2018-2023),turkcell okutma
Bilgin Şti.,bilgi şti
- Kahveci (2023-2023),kahveç
Şafak Şti.,şafak şti
- Polis şefi (2020-2023),polis şef
Yüksel Bilge Ltd. - Forklift operatörü (2020-2024),yüksel bilge ltd forklift operatör
Durmuş Şti.,dur şti
- Yönetici (2022-2025),yönetiç
Çorlu Şti.,çorlu şti
- Hakem (2023-2023),hake
Arslan Şener A.Ş.,arsla şener
- Devlet memuru (2021-2025),devlet memur
Gül Soylu A.Ş.,gül soylu
- Kaportacı (2020-2023),kaportaç
Aselsan - Seyis (2021-2024),asel seyis
Gülen Türk Ltd. - Gazeteci (2023-2023),güle türk ltd gazeteç
Alemdar Sakarya Ltd. - Devlet memuru (2020-2023),alemdar sakarya ltd devlet memur
Opet - Peçeteci (2021-2024),opet peçeteç
Karadeniz Şti.,karade şti
- Lokantacı (2018-2024),lokantaç
Ergül Sezer A.Ş.,ergül sezer
- Kazıcı (2018-2024),kazıç
Eraslan Ltd. - Çevre mühendisi (2020-2025),erasla ltd çevre mühendis
Tüpraş - Gökbilimci (2023-2024),tüpraş gökbilimci
Bilgin Dumanlı Şti.,bilgi dumanlı şti
- Cerrah (2021-2025),cerrah
Şensoy Durmuş Şti.,şensoy dur şti
- Belediye meclisi üyesi (2018-2023),beledi meclis üyes
Bilgin Ltd. - Şarküter (2020-2023),bilgi ltd şarküter
Alemdar Çamurcuoğlu Şti.,alemdar çamurcuoğlu şti
- Anahtarcı (2019-2024),anahtarcı
Aksu Şti.,aksu şti
- Kırtasiyeci (2019-2023),kırtasiyeç
Arçelik - Fahişe (2019-2024),arçelik fahiş
Petkim - İşaretçi (2023-2025),petk işaretçi
Durdu A.Ş.,dur
- Mermerci (2020-2024),mermerci
Seven Türk Ltd. - Susuz araç yıkama (2019-2025),seve türk ltd sus araç yıka
Akgündüz A.Ş.,akgündüz
- Tesisatçı (2022-2025),tesisatçı
A101 Yeni Mağzacılık - Yorumcu (2022-2024),ye mağzacılık yorumcu
Seven A.Ş.,seve
- Mikrobiyolog (2023-2023),mikrobiyologu
LC Waikiki - Eleştirmen (2019-2024),waikik eleştirme
Akçay Tevetoğlu A.Ş.,akçay tevetoğlu
- Rektör yardımcısı (2021-2024),rektör yardımcıs
Sezer A.Ş.,sezer
- Lostracı (2020-2025),lostraç
Akçay Şti.,akçay şti
- Müteahhit (2020-2025),müteahhit
Akça A.Ş.,akça
- Uzay mühendisi (2021-2023),uzay mühendis
Durdu Şti.,dur şti
- Silahçı (2021-2024),silahçı
Akar Şener A.Ş.,akar şener
- Bakan (2020-2023),baka
Yorulmaz Yaman Şti.,yorulmaz yama şti
- Laborant (2019-2023),laborant
Yüksel Ertaş A.Ş.,yüksel ertaş
- Arşivci (2022-2023),arşivci
Yılmaz Soylu Şti.,yılmaz soylu şti
- Savcı (2021-2023),savcı
Migros - Böcekbilimci (2022-2024),migros böcekbilimci
Yaman Arslan Şti.,yama arsla şti
- Eskici (2019-2025),eskiç
Mansız Şti.,mansız şti
- Çevik Kuvvet (2021-2024),çevik kuvvet
Hançer Türk Ltd. - Celep (2021-2024),hançer türk ltd celep
Limak İnşaat - Psikolog (2020-2023),limak inşaat psikologu
Ergül Akdeniz Şti.,ergül akde şti
- Motorcu (2023-2024),motorcu
Akgündüz Arslan A.Ş.,akgündüz arsla
- Sınırlı baş makinist (2022-2025),sınırlı baş makinist
Roketsan - Kütüphaneci (2023-2023),roket kütüphaneç
A101 Yeni Mağzacılık - Mevsimlik işçi (2021-2025),ye mağzacılık mevsimlik işçi
Korutürk Ltd. - Yüzücü (2022-2024),korutürk ltd yüzüç
Seven Durmuş Ltd. - Bozacı (2021-2024),seve dur ltd bozaç
Peak Games - Göz doktoru (2021-2023),peak games göz doktor
Çetin A.Ş.,çet
- Fabrika işçisi (2021-2024),fabrik işçis
Akdeniz Şti.,akde şti
- Tercüman (2018-2024),tercüma
Ertaş Seven Ltd. - Bütçe uzmanı (2019-2025),ertaş seve ltd bütçe uzma
Demirel Akdeniz A.Ş.,demirel akde
- Teğmen (2022-2023),teğme
Toyota Otomotiv - Bakan (2021-2025),toyo otomotiv baka
Arsoy Şti.,arsoy şti
- Model (2021-2025),model
Şensoy Ltd. - Video editörü (2020-2023),şensoy ltd video editör
